               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083091,            0.030694,            0.040449,            0.018977,             0.84783,            0.079543,            0.023568,            0.038644,            0.011717,            0.025368,              0.0706,           0.0032667,           0.0032667
                   1,            0.051299,            0.022831,            0.033787,             0.18005,             0.37628,             0.16044,            0.063802,            0.040296,           0.0069159,            0.021968,            0.040382,           0.0063822,           0.0063822
                   2,            0.050515,            0.018388,            0.029849,             0.17081,              0.4616,             0.20374,            0.072826,            0.038413,            0.007427,            0.020823,           0.0099444,           0.0092777,           0.0092777
                   3,            0.044358,             0.01663,            0.024053,             0.24125,             0.22541,             0.16839,            0.074726,            0.031236,           0.0076467,            0.022312,             0.00901,             0.00901,             0.00901
                   4,            0.042174,            0.016433,            0.024184,             0.28878,             0.15642,             0.16598,            0.067713,            0.038931,           0.0076044,            0.022416,             0.00901,             0.00901,             0.00901
                   5,            0.038852,            0.015473,            0.021785,             0.52681,             0.46487,             0.37975,             0.17621,            0.026669,           0.0070156,                0.02,             0.00868,             0.00868,             0.00868
                   6,            0.037774,            0.015401,            0.020115,             0.43004,             0.56311,             0.48731,             0.22462,             0.02584,           0.0065084,            0.012673,             0.00835,             0.00835,             0.00835
                   7,            0.038782,            0.015105,            0.017814,             0.65546,             0.63097,             0.70507,             0.38669,            0.022817,           0.0051478,           0.0085058,             0.00802,             0.00802,             0.00802
                   8,            0.036571,            0.014501,            0.015357,             0.54697,             0.54803,             0.58986,             0.32756,               0.024,           0.0057535,            0.011195,             0.00769,             0.00769,             0.00769
                   9,            0.036451,            0.013121,            0.013023,             0.75356,             0.77352,             0.81334,             0.44768,            0.021645,           0.0050349,           0.0073506,             0.00736,             0.00736,             0.00736
                  10,            0.033384,            0.013769,            0.012307,             0.72374,             0.69114,             0.74739,             0.41086,            0.021855,           0.0053562,            0.010474,             0.00703,             0.00703,             0.00703
                  11,            0.034224,             0.01344,            0.012343,             0.71433,             0.77105,             0.77119,             0.45734,            0.019634,           0.0051281,           0.0070482,              0.0067,              0.0067,              0.0067
                  12,             0.03441,             0.01338,            0.013007,              0.7545,             0.79425,             0.85472,             0.53204,            0.017563,              0.0046,           0.0075036,             0.00637,             0.00637,             0.00637
                  13,            0.033562,            0.013438,            0.011578,             0.67465,             0.73843,             0.79113,             0.48386,            0.020768,            0.004703,             0.01032,             0.00604,             0.00604,             0.00604
                  14,            0.028685,            0.012591,           0.0099056,             0.79496,             0.78699,             0.87344,             0.52296,            0.018849,           0.0045668,           0.0081098,             0.00571,             0.00571,             0.00571
                  15,            0.030181,            0.012745,           0.0095993,             0.72502,              0.7917,             0.82995,             0.51589,            0.017838,           0.0043802,           0.0090534,             0.00538,             0.00538,             0.00538
                  16,            0.027823,            0.012001,           0.0087142,             0.86381,               0.827,             0.92706,               0.617,            0.017542,           0.0042902,           0.0045863,             0.00505,             0.00505,             0.00505
                  17,            0.029561,            0.012321,           0.0084612,             0.89388,             0.86477,              0.9419,             0.63102,            0.015688,           0.0044003,           0.0036834,             0.00472,             0.00472,             0.00472
                  18,            0.032854,            0.011798,            0.008806,             0.88772,              0.9067,             0.93863,             0.67607,            0.014975,           0.0039404,           0.0045313,             0.00439,             0.00439,             0.00439
                  19,            0.028654,            0.011591,           0.0071124,             0.87296,             0.90282,             0.93871,             0.64448,            0.015496,            0.004051,           0.0053293,             0.00406,             0.00406,             0.00406
                  20,            0.028742,            0.012222,           0.0082586,             0.85964,             0.89399,              0.9217,              0.6125,            0.015828,           0.0041234,           0.0056992,             0.00373,             0.00373,             0.00373
                  21,            0.024113,            0.011407,           0.0072278,             0.90244,             0.88383,             0.94292,             0.67244,            0.014562,           0.0038328,           0.0034741,              0.0034,              0.0034,              0.0034
                  22,            0.025286,            0.011636,           0.0073309,              0.9298,             0.90357,             0.95747,              0.7042,            0.013216,           0.0039143,           0.0033668,             0.00307,             0.00307,             0.00307
                  23,            0.025877,            0.012016,           0.0062196,             0.86425,               0.918,             0.95286,             0.69714,            0.013835,           0.0037215,           0.0033843,             0.00274,             0.00274,             0.00274
                  24,            0.024581,            0.011288,           0.0067805,             0.80807,             0.86498,             0.90178,              0.6384,            0.014851,           0.0040374,           0.0065373,             0.00241,             0.00241,             0.00241
                  25,            0.023571,            0.011197,           0.0069043,             0.91536,             0.91405,             0.96626,             0.71503,            0.013769,           0.0035887,           0.0043181,             0.00208,             0.00208,             0.00208
                  26,            0.023855,            0.011225,           0.0053689,             0.88163,             0.95244,             0.96497,             0.73049,            0.012589,           0.0035151,           0.0029419,             0.00175,             0.00175,             0.00175
                  27,            0.020962,            0.010258,           0.0041943,             0.91352,             0.92848,             0.97044,             0.72644,            0.013192,           0.0033942,           0.0038853,             0.00142,             0.00142,             0.00142
                  28,            0.022964,            0.010213,           0.0046545,             0.93282,             0.92081,             0.97729,             0.76406,            0.011604,           0.0032579,           0.0033733,             0.00109,             0.00109,             0.00109
                  29,            0.020637,           0.0097793,           0.0039658,             0.91882,             0.96843,             0.98223,              0.7715,            0.011254,           0.0033243,           0.0022783,             0.00076,             0.00076,             0.00076
